,Модель,Цена,Год выпуска,Пробег,Привод,ЛС,Тип двигателя,Тип кузова,Коробка передач,Объём двигателя,Цвет,Марка,Класс,Налог
99,Porsche Cayenne S Coupé III,13000000,2021,27245,полный,440,Бензин,внедорожник 5 дв.,автомат,2.9,оранжевый,Porsche,5,198000
100,Chevrolet Cruze I Рестайлинг,590000,2014,176000,передний,109,Бензин,седан,автомат,1.6,белый,Chevrolet,1,2725
101,BMW X5 30d IV (G05),6390000,2019,65000,полный,265,Дизель,внедорожник 5 дв.,автомат,3.0,синий,BMW,5,79500
102,Porsche Cayenne III,8160000,2020,46489,полный,340,Бензин,внедорожник 5 дв.,автомат,3.0,чёрный,Porsche,5,102000
103,Porsche Cayenne III,12000000,2022,39816,полный,340,Бензин,внедорожник 5 дв.,автомат,3.0,серый,Porsche,5,153000
104,Porsche Cayenne S III,13500000,2021,2916,полный,440,Бензин,внедорожник 5 дв.,автомат,2.9,синий,Porsche,5,198000
105,Porsche Cayenne III,6750000,2019,66232,полный,340,Бензин,внедорожник 5 дв.,автомат,3.0,серебристый,Porsche,5,102000
106,Porsche Cayenne GTS Coupé III,16790000,2022,5983,полный,460,Бензин,внедорожник 5 дв.,автомат,4.0,синий,Porsche,5,207000
107,Porsche Cayenne III,12000000,2021,25509,полный,340,Бензин,внедорожник 5 дв.,автомат,3.0,коричневый,Porsche,5,153000
108,Porsche Cayenne III,13090650,2022,20,полный,340,Бензин,внедорожник 5 дв.,автомат,3.0,коричневый,Porsche,5,153000
109,Mercedes-Benz V-Класс XL 300 d экстра длинный II,28500000,2022,150,полный,237,Дизель,минивэн,автомат,2.0,чёрный,Mercedes-Benz,5,53325
110,Kia Sportage V,3280000,2023,121,полный,150,Бензин,внедорожник 5 дв.,автомат,2.0,чёрный,Kia,4,7425
111,Nissan X-Trail III Рестайлинг,2405000,2021,47000,полный,144,Бензин,внедорожник 5 дв.,вариатор,2.0,серый,Nissan,3,5040
112,BMW X5 30d II (E70) Рестайлинг,1985000,2011,160000,полный,245,Дизель,внедорожник 5 дв.,автомат,3.0,синий,BMW,3,18375
