,Модель,Цена,Год выпуска,Пробег,Привод,ЛС,Тип двигателя,Тип кузова,Коробка передач,Объем двигателя,Цвет,Запас хода
1642,Opel Insignia I Рестайлинг,1095000,2014,118458,передний,170,Бензин,седан,автомат,1.6,коричневый,
1643,Skoda Rapid I,710000,2015,147151,передний,75,Бензин,лифтбек,механика,1.2,синий,
1644,Mercedes-Benz M-Класс 350 II (W164) Рестайлинг,1150000,2010,245138,полный,272,Бензин,внедорожник 5 дв.,автомат,3.5,чёрный,
1645,Mercedes-Benz GLS 400 d II (X167),12225000,2020,48922,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,чёрный,
1646,Hyundai Solaris I Рестайлинг,849000,2014,116572,передний,123,Бензин,хэтчбек 5 дв.,механика,1.6,чёрный,
1647,Volkswagen Touareg III,6780000,2021,23155,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,серый,
1648,BMW X3 20d xDrive III (G01) Рестайлинг,6399000,2022,6720,полный,190,Дизель,внедорожник 5 дв.,автомат,2.0,серый,
1649,Land Rover Range Rover Sport II Рестайлинг,9850000,2020,40000,полный,525,Бензин,внедорожник 5 дв.,автомат,5.0,зелёный,
1650,Volkswagen Touareg III,6490000,2021,29511,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,серый,
1651,Volkswagen Golf IV,230000,2003,230000,передний,75,Бензин,хэтчбек 3 дв.,механика,1.4,серебристый,
1652,Infiniti QX80 I Рестайлинг 3,8050000,2020,56471,полный,405,Бензин,внедорожник 5 дв.,автомат,5.6,серый,
1653,Lexus RX 300 IV Рестайлинг,5430000,2021,44204,полный,238,Бензин,внедорожник 5 дв.,автомат,2.0,белый,
1654,Mercedes-Benz V-Класс L 220 d длинный II,9090000,2021,65655,полный,163,Дизель,минивэн,автомат,2.0,чёрный,
1655,Nissan Terrano III (D10),1400000,2018,37000,полный,143,Бензин,внедорожник 5 дв.,механика,2.0,серебристый,
1656,Mercedes-Benz GLE 300 d II (V167),8335000,2019,34132,полный,245,Дизель,внедорожник 5 дв.,автомат,2.0,серебристый,
1657,Chevrolet Cruze I Рестайлинг,889000,2013,126614,передний,141,Бензин,седан,автомат,1.8,чёрный,
1658,Kia Sorento IV,4200000,2020,39000,полный,202,Дизель,внедорожник 5 дв.,робот,2.2,чёрный,
1659,Chevrolet Aveo II,520000,2012,203000,передний,115,Бензин,седан,механика,1.6,серебристый,
1660,Ford Explorer IV,849000,2008,250000,полный,212,Бензин,внедорожник 5 дв.,автомат,4.0,чёрный,
1661,Mercedes-Benz GLS 400 d II (X167),10445000,2020,37839,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,белый,
1662,Mercedes-Benz GLE 300 d II (V167),5850000,2019,94000,полный,245,Дизель,внедорожник 5 дв.,автомат,2.0,чёрный,
1663,Hyundai Creta I Рестайлинг,1680000,2021,2350,передний,123,Бензин,внедорожник 5 дв.,автомат,1.6,серый,
1664,BMW X5 30d IV (G05),9980000,2022,10088,полный,286,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
1665,BMW X5 30d IV (G05),8430000,2020,34600,полный,265,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
1666,Honda CR-V I,420000,1998,177566,полный,128,Бензин,внедорожник 5 дв.,автомат,2.0,зелёный,
1667,Mercedes-Benz Vito 115 CDI L1 II (W639),1400000,2006,295000,задний,150,Дизель,минивэн,автомат,2.2,чёрный,
1668,Lexus RX 300 IV Рестайлинг,5490000,2021,29941,полный,238,Бензин,внедорожник 5 дв.,автомат,2.0,серый,
1669,BMW X3 20d xDrive III (G01),3950000,2019,55291,полный,190,Дизель,внедорожник 5 дв.,автомат,2.0,серебристый,
1670,Volkswagen Touareg III,6895000,2020,55975,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
1671,Toyota Land Cruiser 200 Series Рестайлинг 2,6620000,2018,126154,полный,249,Дизель,внедорожник 5 дв.,автомат,4.5,чёрный,
1672,Toyota Land Cruiser 200 Series Рестайлинг 2,6150000,2017,122234,полный,249,Дизель,внедорожник 5 дв.,автомат,4.5,белый,
1673,Land Rover Range Rover Sport II Рестайлинг,5995000,2018,81904,полный,340,Бензин,внедорожник 5 дв.,автомат,3.0,чёрный,
1674,Lexus RX 300 IV Рестайлинг,5890000,2021,28851,полный,238,Бензин,внедорожник 5 дв.,автомат,2.0,серый,
1675,Hyundai Creta I,1850000,2019,4130,полный,149,Бензин,внедорожник 5 дв.,автомат,2.0,серый,
1676,Mercedes-Benz GLE Coupe 350 d II (C167),10490000,2021,42950,полный,249,Дизель,внедорожник 5 дв.,автомат,2.9,красный,
1677,Citroen C4 I Рестайлинг,459000,2010,100692,передний,120,Бензин,хэтчбек 5 дв.,автомат,1.6,серебристый,
1678,Volkswagen Touareg III,6750000,2020,66909,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,синий,
1679,BMW 5 серии 530d xDrive VII (G30/G31) Рестайлинг,6740000,2021,37993,полный,249,Дизель,седан,автомат,3.0,чёрный,
1680,Kia K5 III,3049000,2021,49074,передний,194,Бензин,седан,автомат,2.5,серый,
1681,Mercedes-Benz GLS 400 d II (X167),11990000,2020,22226,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,чёрный,
1682,Audi A4 V (B9),2999000,2019,44643,передний,190,Дизель,седан,робот,2.0,чёрный,
1683,Volvo XC90 II Рестайлинг,6480000,2021,31957,полный,249,Бензин,внедорожник 5 дв.,автомат,2.0,коричневый,
1684,Toyota Land Cruiser Prado 150 Series Рестайлинг 3,7990000,2023,10,полный,204,Дизель,внедорожник 5 дв.,автомат,2.8,серый,
1685,BMW X5 30d IV (G05),10449000,2022,2638,полный,286,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
1686,Volvo XC90 Recharge II Рестайлинг,6990000,2021,34007,полный,320,Гибрид,внедорожник 5 дв.,автомат,2.0,чёрный,
1687,Mercedes-Benz V-Класс L 220 d длинный II,7590000,2021,77089,полный,163,Дизель,минивэн,автомат,2.1,чёрный,
1688,Mazda 6 II (GH) Рестайлинг,730000,2011,173000,передний,120,Бензин,лифтбек,механика,1.8,серебристый,
1689,Volvo XC90 Recharge II Рестайлинг,6895000,2021,29920,полный,320,Гибрид,внедорожник 5 дв.,автомат,2.0,серый,
1690,LADA (ВАЗ) Kalina I,187000,2010,110000,передний,81,Бензин,хэтчбек 5 дв.,механика,1.6,серый,
1691,"Mercedes-Benz S-Класс 350 d Long VI (W222, C217) Рестайлинг",5370000,2018,158200,полный,249,Дизель,седан,автомат,2.9,чёрный,
1692,Mercedes-Benz GLE Coupe 350 d I (C292),7070000,2019,29257,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,серый,
1693,"Mercedes-Benz S-Класс 350 d Long VI (W222, C217) Рестайлинг",6145000,2018,134379,полный,249,Дизель,седан,автомат,2.9,чёрный,
1694,Haval Jolion I,2150000,2021,22169,передний,143,Бензин,внедорожник 5 дв.,робот,1.5,чёрный,
1695,Skoda Yeti I,919000,2012,152001,полный,152,Бензин,внедорожник 5 дв.,робот,1.8,белый,
1696,Jeep Grand Cherokee IV (WK2) Рестайлинг,4995000,2020,51000,полный,250,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
1697,Volkswagen Tiguan I Рестайлинг,1430000,2016,85000,передний,150,Бензин,внедорожник 5 дв.,робот,1.4,синий,
1698,Audi Q8 45 TDI I,8650000,2021,17526,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
1699,BMW X4 20i I (F26),3300000,2016,54300,полный,184,Бензин,внедорожник 5 дв.,автомат,2.0,белый,
1700,BMW X7 30d I (G07),9350000,2020,38500,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
1701,Volvo XC90 Recharge II Рестайлинг,7275000,2021,31889,полный,320,Гибрид,внедорожник 5 дв.,автомат,2.0,чёрный,
1702,LADA (ВАЗ) Largus I,999000,2019,49592,передний,106,Бензин,фургон,механика,1.6,белый,
1703,Toyota Camry VIII (XV70),2599000,2019,76741,передний,181,Бензин,седан,автомат,2.5,белый,
1704,Mercedes-Benz M-Класс 350 II (W164) Рестайлинг,1150000,2010,245138,полный,272,Бензин,внедорожник 5 дв.,автомат,3.5,чёрный,
1705,Hyundai Solaris I Рестайлинг,849000,2014,116572,передний,123,Бензин,хэтчбек 5 дв.,механика,1.6,чёрный,
1706,Lexus RX 300 IV Рестайлинг,6000000,2020,45000,полный,238,Бензин,внедорожник 5 дв.,автомат,2.0,серый,
1707,Volkswagen Touareg III,6780000,2021,23155,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,серый,
1708,BMW X5 30d IV (G05),6825000,2019,54000,полный,265,Дизель,внедорожник 5 дв.,автомат,3.0,белый,
1709,Tesla Model X Plaid I Рестайлинг,15490000,2022,70,полный,1020,Электро,внедорожник 5 дв.,,,чёрный,Заряд на 547 км
1710,Kia Carnival III,2880000,2019,87000,передний,202,Дизель,минивэн,автомат,2.2,серый,
1711,Lexus RX 300 IV Рестайлинг,5430000,2021,44204,полный,238,Бензин,внедорожник 5 дв.,автомат,2.0,белый,
1712,Mercedes-Benz V-Класс L 220 d длинный II,9090000,2021,65655,полный,163,Дизель,минивэн,автомат,2.0,чёрный,
1713,Volkswagen Touareg III,6490000,2021,29511,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,серый,
1714,Infiniti QX80 I Рестайлинг 3,8050000,2020,56471,полный,405,Бензин,внедорожник 5 дв.,автомат,5.6,серый,
1715,Hyundai Getz I Рестайлинг,680000,2008,30000,передний,97,Бензин,хэтчбек 5 дв.,механика,1.4,серебристый,
1716,Mercedes-Benz GLE 300 d II (V167),8335000,2019,34132,полный,245,Дизель,внедорожник 5 дв.,автомат,2.0,серебристый,
1717,Opel Insignia I Рестайлинг,1095000,2014,118458,передний,170,Бензин,седан,автомат,1.6,коричневый,
1718,Nissan Terrano III (D10),1400000,2018,37000,полный,143,Бензин,внедорожник 5 дв.,механика,2.0,серебристый,
1719,Chevrolet Cruze I Рестайлинг,889000,2013,126614,передний,141,Бензин,седан,автомат,1.8,чёрный,
1720,Porsche Cayenne III,13300000,2022,5,полный,340,Бензин,внедорожник 5 дв.,автомат,3.0,красный,
1721,Mercedes-Benz GLS 400 d II (X167),10445000,2020,37839,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,белый,
1722,Audi Q5 45 TFSI II (FY) Рестайлинг,5514000,2021,61000,полный,249,Бензин,внедорожник 5 дв.,робот,2.0,серебристый,
1723,BMW X5 30d IV (G05),9980000,2022,10088,полный,286,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
1724,Ford Kuga II,1140000,2013,153000,полный,140,Дизель,внедорожник 5 дв.,робот,2.0,чёрный,
1725,Hyundai Palisade I,4420000,2020,22000,полный,200,Дизель,внедорожник 5 дв.,автомат,2.2,синий,
1726,Mercedes-Benz GLS 500 I (X166),5245000,2019,108722,полный,455,Бензин,внедорожник 5 дв.,автомат,4.7,чёрный,
1727,Porsche Panamera 4 II,10850000,2020,17726,полный,330,Бензин,хэтчбек 5 дв.,робот,3.0,чёрный,
1728,Volkswagen Golf VII,975000,2014,166000,передний,122,Бензин,хэтчбек 5 дв.,робот,1.4,серебристый,
1729,Mercedes-Benz G-Класс 350 d III (W463),13750000,2020,110500,полный,249,Дизель,внедорожник 5 дв.,автомат,2.9,чёрный,
1730,BMW X5 40d IV (G05),13390000,2022,13625,полный,340,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
1731,Hyundai Grand Starex I Рестайлинг 2,3171000,2018,62000,задний,175,Дизель,минивэн,автомат,2.5,чёрный,
1732,Citroen Berlingo I Рестайлинг,370000,2007,328000,передний,75,Бензин,компактвэн,механика,1.4,серый,
1733,MINI Countryman Cooper I,1229000,2013,126428,передний,122,Бензин,внедорожник 5 дв.,автомат,1.6,белый,
1734,Skoda Rapid I,950000,2016,68049,передний,90,Бензин,лифтбек,механика,1.6,белый,
1735,Nissan Qashqai II,1880000,2017,38026,передний,144,Бензин,внедорожник 5 дв.,вариатор,2.0,серый,
1736,Jaguar XF I Рестайлинг,1370000,2014,110000,задний,240,Бензин,седан,автомат,2.0,белый,
1737,Mercedes-Benz GLE AMG 63 AMG S II (V167),13999000,2020,20261,полный,612,Бензин,внедорожник 5 дв.,автомат,4.0,серый,
1738,Skoda Rapid I Рестайлинг,1249000,2018,165819,передний,125,Бензин,лифтбек,робот,1.4,красный,
1739,Hyundai ix35 I Рестайлинг,1425000,2014,99800,полный,150,Бензин,внедорожник 5 дв.,автомат,2.0,коричневый,
1740,Hyundai Solaris II Рестайлинг,1819000,2022,25609,передний,123,Бензин,седан,автомат,1.6,серый,
1741,Geely Coolray I,1880000,2021,42300,передний,150,Бензин,внедорожник 5 дв.,робот,1.5,красный,
1742,Aston Martin DB9 I Рестайлинг 2,7900000,2013,19000,задний,517,Бензин,купе,автомат,5.9,зелёный,
1743,Kia Cerato IV,1855000,2020,38000,передний,150,Бензин,седан,автомат,2.0,синий,
1744,Hyundai Accent ТагАЗ II,238000,2004,288000,передний,90,Бензин,седан,механика,1.5,красный,
1745,Skoda Rapid I,940000,2015,73288,передний,90,Бензин,лифтбек,механика,1.6,синий,
1746,Lexus ES 250 VII,5100000,2021,19432,передний,200,Бензин,седан,автомат,2.5,чёрный,
1747,Mercedes-Benz V-Класс L 250 d длинный II,5800000,2018,72975,полный,190,Дизель,минивэн,автомат,2.1,синий,
1748,Audi A6 II (C5) Рестайлинг,549000,2003,138233,полный,220,Бензин,седан,механика,3.0,серебристый,
1749,Haval F7 I,2249000,2021,75983,полный,190,Бензин,внедорожник 5 дв.,робот,2.0,белый,
1750,Tesla Model S P85D I,3290000,2015,160000,полный,700,Электро,лифтбек,,,чёрный,Заряд на 407 км
1751,Renault Logan I Рестайлинг,670000,2013,8295,передний,75,Бензин,седан,механика,1.4,серебристый,
1752,Jeep Grand Cherokee IV (WK2) Рестайлинг,3000000,2013,113213,полный,243,Дизель,внедорожник 5 дв.,автомат,3.0,белый,
1753,BMW X5 30d IV (G05),6450000,2019,53000,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,синий,
1754,Mercedes-Benz GLS 350 d I (X166),5550000,2017,89116,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
1755,Land Rover Range Rover Long IV,4079000,2015,215000,полный,339,Дизель,внедорожник 5 дв.,автомат,4.4,чёрный,
1756,Hyundai i40 I,1200000,2014,122760,передний,150,Бензин,седан,автомат,2.0,серебристый,
1757,Mitsubishi Pajero IV Рестайлинг 1,1790000,2011,231000,полный,200,Дизель,внедорожник 5 дв.,автомат,3.2,чёрный,
1758,BMW X3 20d xDrive III (G01),4950000,2019,31199,полный,190,Дизель,внедорожник 5 дв.,автомат,2.0,белый,
1759,Opel Astra J,650000,2011,115230,передний,115,Бензин,универсал 5 дв.,автомат,1.6,серый,
1760,Renault Logan Stepway II Рестайлинг,1095000,2019,35500,передний,113,Бензин,седан,вариатор,1.6,коричневый,
1761,Toyota Hilux Arctic Trucks AT35 VIII Рестайлинг,6490000,2022,5,полный,200,Дизель,пикап двойная кабина,автомат,2.8,серый,
1762,Lexus RX 300 IV Рестайлинг,6000000,2020,45000,полный,238,Бензин,внедорожник 5 дв.,автомат,2.0,серый,
1763,Kia Sorento IV,5990000,2023,24,полный,199,Дизель,внедорожник 5 дв.,робот,2.2,чёрный,
1764,Kia Ceed II,855000,2014,146000,передний,129,Бензин,хэтчбек 3 дв.,автомат,1.6,красный,
1765,BMW X5 30d IV (G05),6825000,2019,54000,полный,265,Дизель,внедорожник 5 дв.,автомат,3.0,белый,
1766,Tesla Model X Long Range I Рестайлинг,12500000,2022,10,полный,670,Электро,внедорожник 5 дв.,,,белый,Заряд на 579 км
1767,Nissan Note I Рестайлинг,699000,2013,83000,передний,88,Бензин,хэтчбек 5 дв.,механика,1.4,коричневый,
1768,Tesla Model X Plaid I Рестайлинг,15490000,2022,70,полный,1020,Электро,внедорожник 5 дв.,,,чёрный,Заряд на 547 км
1769,Porsche Cayenne Turbo I Рестайлинг (957),1499000,2008,116450,полный,500,Бензин,внедорожник 5 дв.,автомат,4.8,чёрный,
1770,Kia Carnival III,2880000,2019,87000,передний,202,Дизель,минивэн,автомат,2.2,серый,
1771,Hyundai Getz I Рестайлинг,680000,2008,30000,передний,97,Бензин,хэтчбек 5 дв.,механика,1.4,серебристый,
1772,Toyota RAV4 III (XA30) Рестайлинг,1279000,2011,176000,полный,158,Бензин,внедорожник 5 дв.,вариатор,2.0,коричневый,
1773,Lexus RX 300 IV Рестайлинг,5090000,2019,76127,полный,238,Бензин,внедорожник 5 дв.,автомат,2.0,серый,
1774,Porsche Cayenne III,13300000,2022,5,полный,340,Бензин,внедорожник 5 дв.,автомат,3.0,красный,
1775,Kia Sportage III Рестайлинг,1300000,2014,94000,полный,150,Бензин,внедорожник 5 дв.,автомат,2.0,серебристый,
1776,Skoda Rapid I Рестайлинг,1399000,2018,104273,передний,110,Бензин,лифтбек,автомат,1.6,белый,
1777,Mazda 3 I (BK) Рестайлинг,440000,2007,225000,передний,105,Бензин,седан,механика,1.6,красный,
1778,Toyota Camry Prominent V30,350000,1992,270000,передний,140,Бензин,седан,автомат,2.0,белый,
1779,Kia Ceed II,855000,2014,146000,передний,129,Бензин,хэтчбек 3 дв.,автомат,1.6,красный,
1780,Nissan Note I Рестайлинг,699000,2013,83000,передний,88,Бензин,хэтчбек 5 дв.,механика,1.4,коричневый,
1781,Nissan Almera II (N16),240000,2002,290000,передний,90,Бензин,седан,механика,1.5,красный,
1782,LADA (ВАЗ) 2110,38500,2006,245454,передний,90,Бензин,седан,механика,1.6,зелёный,
1783,Mercedes-Benz C-Класс 220 d IV (W205) Рестайлинг,3300000,2018,99000,полный,194,Дизель,седан,автомат,2.0,серый,
1784,Kia Sorento IV,5990000,2023,24,полный,199,Дизель,внедорожник 5 дв.,робот,2.2,чёрный,
1785,Porsche Cayenne Turbo I Рестайлинг (957),1499000,2008,116450,полный,500,Бензин,внедорожник 5 дв.,автомат,4.8,чёрный,
1786,Toyota RAV4 III (XA30) Рестайлинг,1279000,2011,176000,полный,158,Бензин,внедорожник 5 дв.,вариатор,2.0,коричневый,
1787,Volkswagen Multivan T6,4300000,2019,38036,передний,140,Дизель,минивэн,робот,2.0,белый,
1788,Lexus RX 300 IV Рестайлинг,5090000,2019,76127,полный,238,Бензин,внедорожник 5 дв.,автомат,2.0,серый,
1789,Rolls-Royce Phantom VIII,44000000,2020,11076,задний,571,Бензин,седан,автомат,6.8,чёрный,
1790,Kia Sportage III Рестайлинг,1300000,2014,94000,полный,150,Бензин,внедорожник 5 дв.,автомат,2.0,серебристый,
1791,Skoda Rapid I Рестайлинг,1399000,2018,104273,передний,110,Бензин,лифтбек,автомат,1.6,белый,
1792,Mazda 3 I (BK) Рестайлинг,440000,2007,225000,передний,105,Бензин,седан,механика,1.6,красный,
1793,Mazda 626 IV (GE),45000,1994,348330,передний,105,Бензин,седан,механика,1.8,синий,
1794,Skoda Rapid I Рестайлинг,850000,2017,206788,передний,90,Бензин,лифтбек,механика,1.6,белый,
1795,BMW X1 20i I (E84) Рестайлинг,1192000,2013,152478,полный,184,Бензин,внедорожник 5 дв.,автомат,2.0,белый,
1796,Nissan Qashqai II Рестайлинг,2289000,2019,50977,полный,144,Бензин,внедорожник 5 дв.,вариатор,2.0,голубой,
1797,Suzuki Grand Vitara III Рестайлинг,855000,2008,188000,задний,169,Бензин,внедорожник 5 дв.,механика,2.4,серый,
1798,Ford F-150 XIII Рестайлинг,4650000,2018,120000,полный,375,Бензин,пикап двойная кабина,автомат,3.5,серый,
1799,Geely Tugella I,3137000,2021,40510,полный,238,Бензин,внедорожник 5 дв.,автомат,2.0,серый,
1800,BMW X5 35i II (E70) Рестайлинг,1470000,2012,303000,полный,306,Бензин,внедорожник 5 дв.,автомат,3.0,белый,
1801,Renault Logan Stepway II Рестайлинг,1135000,2020,74000,передний,113,Бензин,седан,механика,1.6,красный,
1802,LADA (ВАЗ) 2110,115000,2004,150000,передний,90,Бензин,седан,механика,1.5,синий,
1803,Chevrolet Captiva I Рестайлинг 2,1290000,2013,169000,полный,249,Бензин,внедорожник 5 дв.,автомат,3.0,белый,
1804,Renault Kaptur I,1319000,2017,69028,полный,143,Бензин,внедорожник 5 дв.,механика,2.0,коричневый,
1805,Nissan Qashqai I Рестайлинг,877000,2011,138327,полный,141,Бензин,внедорожник 5 дв.,вариатор,2.0,серый,
1806,Honda Civic VIII,640000,2007,321834,передний,140,Бензин,седан,автомат,1.8,синий,
1807,Volkswagen Polo V Рестайлинг,1295000,2019,112000,передний,125,Бензин,седан,робот,1.4,белый,
1808,Renault Sandero II,995000,2017,80000,передний,102,Бензин,хэтчбек 5 дв.,автомат,1.6,серебристый,
1809,Renault Duster I Рестайлинг,1550000,2019,66000,полный,109,Дизель,внедорожник 5 дв.,механика,1.5,белый,
1810,Toyota Camry VII (XV50) Рестайлинг,1719000,2016,300528,передний,181,Бензин,седан,автомат,2.5,чёрный,
1811,Kia Ceed II Рестайлинг,1180000,2017,99900,передний,130,Бензин,хэтчбек 5 дв.,автомат,1.6,чёрный,
1812,LADA (ВАЗ) Vesta SW I,980000,2019,41000,передний,106,Бензин,универсал 5 дв.,механика,1.6,чёрный,
1813,Volkswagen Multivan T7,6090000,2022,98,передний,150,Дизель,минивэн,робот,2.0,серый,
1814,"Toyota Corolla XI (E160, E170)",1155000,2013,136000,передний,122,Бензин,седан,механика,1.6,серебристый,
1815,BMW X2 sDrive18i I (F39),2990000,2019,85000,передний,140,Бензин,внедорожник 5 дв.,робот,1.5,белый,
1816,Nissan Qashqai I Рестайлинг,877000,2011,138327,полный,141,Бензин,внедорожник 5 дв.,вариатор,2.0,серый,
1817,Volkswagen Multivan T7,5940000,2022,498,передний,150,Дизель,минивэн,робот,2.0,серый,
1818,SsangYong Actyon II,900000,2011,55936,полный,149,Дизель,внедорожник 5 дв.,автомат,2.0,чёрный,
1819,LADA (ВАЗ) Vesta SW Cross I,1390000,2021,24700,передний,106,Бензин,универсал 5 дв.,механика,1.6,оранжевый,
1820,Opel Mokka I,990000,2013,226600,полный,140,Бензин,внедорожник 5 дв.,автомат,1.8,оранжевый,
1821,Kia Sorento IV,5550000,2023,29,полный,199,Дизель,внедорожник 5 дв.,робот,2.2,чёрный,
1822,Porsche Cayenne Coupé III,13900000,2023,5,полный,340,Бензин,внедорожник 5 дв.,автомат,3.0,серый,
1823,Kia Ceed III,1810000,2019,30000,передний,140,Бензин,универсал 5 дв.,робот,1.4,чёрный,
1824,Ford Focus III Рестайлинг,930000,2016,93000,передний,125,Бензин,седан,механика,1.6,белый,
1825,Toyota Highlander II (U40) Рестайлинг,1665000,2011,305912,полный,273,Бензин,внедорожник 5 дв.,автомат,3.5,чёрный,
1826,Kia Soul III,2299000,2021,12772,передний,150,Бензин,хэтчбек 5 дв.,автомат,2.0,красный,
1827,Hyundai ix35 I,1010000,2010,150000,передний,150,Бензин,внедорожник 5 дв.,автомат,2.0,коричневый,
1828,Volkswagen Polo V Рестайлинг,840000,2017,150000,передний,110,Бензин,седан,механика,1.6,серый,
1829,EXEED LX,3399900,2023,80,передний,147,Бензин,внедорожник 5 дв.,вариатор,1.5,голубой,
1830,Mazda CX-5 II,3490000,2021,35900,полный,230,Бензин,внедорожник 5 дв.,автомат,2.5,серый,
1831,LADA (ВАЗ) Vesta I,910000,2019,95000,передний,122,Бензин,седан,механика,1.8,чёрный,
1832,Mercedes-Benz GLE Coupe 400 d II (C167),13900000,2022,11,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,белый,
1833,Peugeot 308 I,520000,2010,126135,передний,120,Бензин,хэтчбек 5 дв.,автомат,1.6,белый,
1834,Volkswagen Touareg III,6250000,2019,65200,полный,231,Дизель,внедорожник 5 дв.,автомат,3.0,серебристый,
1835,Audi A4 II (B6),555000,2002,200330,передний,163,Бензин,универсал 5 дв.,вариатор,1.8,серебристый,
1836,Geely Coolray I,1880000,2021,42300,передний,150,Бензин,внедорожник 5 дв.,робот,1.5,красный,
1837,Kia Ceed III,1635000,2018,88000,передний,140,Бензин,хэтчбек 5 дв.,робот,1.4,белый,
1838,Hyundai Accent ТагАЗ II,238000,2004,288000,передний,90,Бензин,седан,механика,1.5,красный,
1839,Skoda Rapid I,849000,2016,102922,передний,90,Бензин,лифтбек,механика,1.6,белый,
1840,SsangYong Kyron 6-speed I Рестайлинг,990000,2012,134000,полный,141,Дизель,внедорожник 5 дв.,автомат,2.0,серый,
1841,Mazda CX-5 II,2368000,2017,104809,полный,194,Бензин,внедорожник 5 дв.,автомат,2.5,красный,
1842,Mercedes-Benz V-Класс L 250 d длинный II,5800000,2018,72975,полный,190,Дизель,минивэн,автомат,2.1,синий,
1843,BMW X6 M50i III (G06),8000000,2020,23546,полный,530,Бензин,внедорожник 5 дв.,автомат,4.4,чёрный,
1844,Mercedes-Benz CL-Класс 500 III (C216) Рестайлинг,2399999,2010,131000,полный,435,Бензин,купе-хардтоп,автомат,4.7,чёрный,
1845,Audi Q7 45 TDI II (4M) Рестайлинг,8499000,2022,9519,полный,231,Дизель,внедорожник 5 дв.,автомат,3.0,белый,
1846,Tesla Model S P85D I,3290000,2015,160000,полный,700,Электро,лифтбек,,,чёрный,Заряд на 407 км
1847,LADA (ВАЗ) Largus I Рестайлинг,1390000,2021,45000,передний,106,Бензин,универсал 5 дв.,механика,1.6,белый,
1848,Renault Logan I Рестайлинг,670000,2013,8295,передний,75,Бензин,седан,механика,1.4,серебристый,
1849,Toyota Land Cruiser Prado 150 Series Рестайлинг 3,5880000,2021,74967,полный,200,Дизель,внедорожник 5 дв.,автомат,2.8,чёрный,
1850,Renault Sandero I,585000,2011,155000,передний,84,Бензин,хэтчбек 5 дв.,механика,1.6,бежевый,
1851,Nissan Terrano III (D10),1340000,2017,114233,полный,143,Бензин,внедорожник 5 дв.,автомат,2.0,серебристый,
1852,Audi Q7 45 TDI II (4M) Рестайлинг,8499000,2022,9519,полный,231,Дизель,внедорожник 5 дв.,автомат,3.0,белый,
1853,SsangYong Kyron 6-speed I Рестайлинг,990000,2012,134000,полный,141,Дизель,внедорожник 5 дв.,автомат,2.0,серый,
1854,Opel Omega B Рестайлинг,65500,2000,173265,задний,144,Бензин,универсал 5 дв.,механика,2.2,чёрный,
1855,Dodge Durango III Рестайлинг 2,4899000,2021,34850,полный,295,Бензин,внедорожник 5 дв.,автомат,3.6,чёрный,
1856,Land Rover Range Rover Sport II Рестайлинг,9850000,2020,40000,полный,525,Бензин,внедорожник 5 дв.,автомат,5.0,зелёный,
1857,LADA (ВАЗ) Largus I Рестайлинг,1390000,2021,45000,передний,106,Бензин,универсал 5 дв.,механика,1.6,белый,
1858,Toyota Land Cruiser Prado 150 Series Рестайлинг 3,5880000,2021,74967,полный,200,Дизель,внедорожник 5 дв.,автомат,2.8,чёрный,
1859,BMW X6 M50i III (G06),8000000,2020,23546,полный,530,Бензин,внедорожник 5 дв.,автомат,4.4,чёрный,
1860,Skoda Yeti I Рестайлинг,1245000,2015,174000,передний,110,Бензин,внедорожник 5 дв.,автомат,1.6,белый,
1861,Volkswagen Golf IV,230000,2003,230000,передний,75,Бензин,хэтчбек 3 дв.,механика,1.4,серебристый,
1862,Nissan Terrano III (D10),1340000,2017,114233,полный,143,Бензин,внедорожник 5 дв.,автомат,2.0,серебристый,
1863,Skoda Rapid I,849000,2016,102922,передний,90,Бензин,лифтбек,механика,1.6,белый,
1864,Renault Sandero I,585000,2011,155000,передний,84,Бензин,хэтчбек 5 дв.,механика,1.6,бежевый,
1865,Geely Tugella I,2760000,2021,91659,полный,238,Бензин,внедорожник 5 дв.,автомат,2.0,белый,
