,Модель,Цена,Год выпуска,Пробег,Привод,ЛС,Тип двигателя,Тип кузова,Коробка передач,Объем двигателя,Цвет,Запас хода
167,Audi A6 IV (C7) Рестайлинг,2249000,2018,97000,полный,249,Бензин,седан,робот,2.0,серый,
168,BMW X5 30d III (F15),2509000,2013,329897,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
169,Ford Mustang VI Рестайлинг,3099999,2021,20114,задний,317,Бензин,купе,автомат,2.3,серый,
170,BMW X5 M50i IV (G05),9790000,2019,47955,полный,530,Бензин,внедорожник 5 дв.,автомат,4.4,чёрный,
171,Kia Carnival III,2670000,2019,43272,передний,202,Дизель,минивэн,автомат,2.2,чёрный,
172,LADA (ВАЗ) Vesta SW I,1230000,2019,67000,передний,113,Бензин,универсал 5 дв.,вариатор,1.6,серый,
173,Mercedes-Benz V-Класс L 250 d длинный II,4400000,2018,135000,полный,190,Дизель,минивэн,автомат,2.1,чёрный,
174,BMW 5 серии 530d xDrive VII (G30/G31),4700000,2019,34000,полный,249,Дизель,седан,автомат,3.0,серый,
175,SsangYong Actyon II,940000,2011,112000,полный,149,Дизель,внедорожник 5 дв.,автомат,2.0,белый,
176,Hyundai Tucson IV,3090000,2022,156,полный,150,Бензин,внедорожник 5 дв.,автомат,2.0,серый,
177,Kia Rio III Рестайлинг,868000,2017,193369,передний,123,Бензин,седан,автомат,1.6,серый,
178,Chevrolet Cruze I Рестайлинг,929000,2014,133000,передний,141,Бензин,универсал 5 дв.,механика,1.8,серебристый,
179,Chevrolet Equinox III,1640000,2019,42000,полный,170,Бензин,внедорожник 5 дв.,автомат,1.5,серебристый,
180,BMW X5 M50d IV (G05),9790000,2019,39209,полный,400,Дизель,внедорожник 5 дв.,автомат,3.0,чёрный,
181,Kia Carnival III,2600000,2018,54861,передний,202,Дизель,минивэн,автомат,2.2,чёрный,
182,Mercedes-Benz GLS 400 d II (X167),15790000,2023,10,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,чёрный,
183,Hyundai Solaris II Рестайлинг,1618000,2021,19109,передний,123,Бензин,седан,автомат,1.6,белый,
184,LADA (ВАЗ) 2131 (4x4) I,410000,2011,11000,полный,83,Бензин,внедорожник 5 дв.,механика,1.7,зелёный,
185,Chevrolet Cruze I Рестайлинг,590000,2014,176000,передний,109,Бензин,седан,автомат,1.6,белый,
186,Skoda Kodiaq I,2290000,2019,117078,полный,150,Бензин,внедорожник 5 дв.,робот,1.4,белый,
187,Hyundai Santa Fe IV Рестайлинг,4150000,2022,39,полный,199,Дизель,внедорожник 5 дв.,робот,2.2,белый,
188,Mercedes-Benz GLS 400 d II (X167),12999000,2021,18400,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,чёрный,
189,Volkswagen Passat Alltrack B8,2390000,2017,161000,полный,220,Бензин,универсал 5 дв.,робот,2.0,чёрный,
190,Toyota RAV4 V (XA50),3530000,2022,109,передний,149,Бензин,внедорожник 5 дв.,вариатор,2.0,белый,
191,Mercedes-Benz S-Класс 350 d Long 4MATIC VII (W223),14999000,2021,13600,полный,249,Дизель,седан,автомат,2.9,чёрный,
192,RAM 1500 Crew Cab V,6540000,2020,19950,полный,395,Бензин,пикап двойная кабина,автомат,5.7,чёрный,
193,Kia Ceed III,1689000,2019,60000,передний,140,Бензин,универсал 5 дв.,робот,1.4,серый,
194,Kia Carnival IV,3729000,2021,24000,передний,199,Дизель,минивэн,автомат,2.2,красный,
195,Jeep Wrangler IV (JL),11800000,2022,37,полный,470,Бензин,внедорожник 5 дв.,автомат,6.4,зелёный,
196,Hyundai Tucson IV,4490000,2023,61,полный,186,Дизель,внедорожник 5 дв.,автомат,2.0,коричневый,
197,Audi Q8 45 TDI I,5500000,2020,50000,полный,249,Дизель,внедорожник 5 дв.,автомат,3.0,синий,
198,Kia Carnival III,3130000,2019,46499,передний,202,Дизель,минивэн,автомат,2.2,белый,
199,Mitsubishi Outlander III,1740000,2013,155000,полный,167,Бензин,внедорожник 5 дв.,вариатор,2.4,чёрный,
200,Kia Carnival IV,4988000,2023,20,передний,199,Дизель,минивэн,автомат,2.2,чёрный,
201,Renault Kaptur I Рестайлинг,1619000,2020,59000,передний,150,Бензин,внедорожник 5 дв.,вариатор,1.3,чёрный,
202,Mercedes-Benz V-Класс XL 300 d экстра длинный II,32850000,2022,150,полный,237,Дизель,минивэн,автомат,2.0,чёрный,
203,Lexus LX 570 III Рестайлинг 2,6750000,2017,119000,полный,367,Бензин,внедорожник 5 дв.,автомат,5.7,чёрный,
204,Changan CS35PLUS I,2189000,2022,42,передний,117,Бензин,внедорожник 5 дв.,автомат,1.6,красный,
205,Peugeot 308 I Рестайлинг,527000,2012,137285,передний,120,Бензин,хэтчбек 5 дв.,механика,1.6,белый,
206,BMW X7 40i I (G07) Рестайлинг,15299999,2022,73,полный,381,Бензин,внедорожник 5 дв.,автомат,3.0,чёрный,
207,Mercedes-Benz GLE 400 d II (V167),8499000,2020,24632,полный,330,Дизель,внедорожник 5 дв.,автомат,2.9,серый,
208,Nissan X-Trail III,1836000,2018,106169,передний,144,Бензин,внедорожник 5 дв.,вариатор,2.0,серебристый,
209,Skoda Rapid II,1670000,2020,55000,передний,125,Бензин,лифтбек,робот,1.4,коричневый,
210,BMW 5 серии 520d xDrive VII (G30/G31),2499000,2018,189000,полный,190,Дизель,универсал 5 дв.,автомат,2.0,серый,
211,Renault Duster I Рестайлинг,1599000,2020,55000,полный,143,Бензин,внедорожник 5 дв.,автомат,2.0,белый,
212,Mercedes-Benz V-Класс XL 300 d экстра длинный II,32850000,2022,150,полный,237,Дизель,минивэн,автомат,2.0,чёрный,
213,Hyundai Tucson IV,3188000,2023,20,передний,150,Бензин,внедорожник 5 дв.,автомат,2.0,белый,
214,LADA (ВАЗ) Largus I,959000,2019,55000,передний,106,Бензин,универсал 5 дв.,механика,1.6,белый,
215,Kia Cerato I,330000,2004,239000,передний,105,Бензин,хэтчбек 5 дв.,автомат,1.6,чёрный,
216,Mercedes-Benz V-Класс 300 d компактный II,6997000,2020,59000,полный,239,Дизель,минивэн,автомат,2.0,чёрный,
217,Mercedes-Benz V-Класс XL 300 d экстра длинный II,38200000,2022,50,полный,237,Дизель,минивэн,автомат,2.0,чёрный,
218,Kia Carnival III,3320000,2020,67893,передний,202,Дизель,минивэн,автомат,2.2,чёрный,
219,Mercedes-Benz V-Класс XL 300 d экстра длинный II,40700000,2022,50,полный,237,Дизель,минивэн,автомат,2.0,чёрный,
220,Ford Mustang Shelby GT350 VI Рестайлинг,7500000,2017,7200,задний,526,Бензин,купе,механика,5.2,синий,
221,Hyundai Tucson III Рестайлинг,2437000,2018,67025,полный,150,Бензин,внедорожник 5 дв.,автомат,2.0,чёрный,
222,Mercedes-Benz GLE AMG 63 AMG I (W166),4900000,2017,75000,полный,557,Бензин,внедорожник 5 дв.,автомат,5.5,чёрный,
223,Mercedes-Benz S-Класс 500 Long V (W221) Рестайлинг,1200000,2011,187000,полный,435,Бензин,седан,автомат,4.7,чёрный,
224,Skoda Rapid II,1670000,2020,55000,передний,125,Бензин,лифтбек,робот,1.4,коричневый,
225,Skoda Octavia IV (A8),1850000,2020,22414,передний,150,Бензин,лифтбек,автомат,1.4,чёрный,
226,Toyota Camry VII (XV50) Рестайлинг,1765000,2017,120000,передний,150,Бензин,седан,автомат,2.0,чёрный,
